The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
Layer: 1
0.339
51
-0.125 0.069 210.964
-0.116 0.084 220.601
-0.104 0.098 227.291
-0.091 0.110 231.843
-0.077 0.121 243.435
-0.061 0.129 247.620
-0.044 0.136 256.759
-0.027 0.140 260.538
-0.009 0.143 270.000
0.009 0.143 279.462
0.027 0.140 283.241
0.044 0.136 292.380
0.061 0.129 296.565
0.077 0.121 308.157
0.091 0.110 312.709
0.104 0.098 319.399
0.116 0.084 329.036
0.125 0.069 333.435
0.133 0.053 343.610
0.138 0.036 347.471
0.142 0.018 356.820
0.143 0.000 363.180
0.142 -0.018 372.529
0.138 -0.036 376.390
0.133 -0.053 386.565
0.125 -0.069 390.964
0.116 -0.084 400.601
0.104 -0.098 407.291
0.091 -0.110 411.843
0.077 -0.121 423.435
0.061 -0.129 427.620
0.044 -0.136 436.759
0.027 -0.140 440.538
0.009 -0.143 450.000
-0.009 -0.143 459.462
-0.027 -0.140 463.241
-0.044 -0.136 472.380
-0.061 -0.129 476.565
-0.077 -0.121 488.157
-0.091 -0.110 492.709
-0.104 -0.098 499.399
-0.116 -0.084 509.036
-0.125 -0.069 513.435
-0.133 -0.053 523.610
-0.138 -0.036 527.471
-0.142 -0.018 536.820
-0.143 0.000 543.180
-0.142 0.018 552.529
-0.138 0.036 556.390
-0.133 0.053 566.565
-0.125 0.069 566.565
Layer: 2
0.339
6
-0.000 0.000 0.000
-0.000 0.000 0.000
-0.000 -0.000 0.000
0.000 -0.000 0.000
0.000 0.000 0.000
-0.000 0.000 0.000
Layer: 3
0.939
51
0.230 0.059 350.218
0.235 0.030 356.186
0.237 0.000 363.814
0.235 -0.030 369.782
0.230 -0.059 377.819
0.221 -0.087 385.710
0.208 -0.114 392.619
0.192 -0.139 399.560
0.173 -0.162 406.332
0.151 -0.183 414.689
0.127 -0.200 420.018
0.101 -0.215 428.552
0.073 -0.226 436.430
0.044 -0.233 442.147
0.015 -0.237 450.000
-0.015 -0.237 457.853
-0.044 -0.233 463.570
-0.073 -0.226 471.448
-0.101 -0.215 479.982
-0.127 -0.200 485.311
-0.151 -0.183 493.668
-0.173 -0.162 500.440
-0.192 -0.139 507.381
-0.208 -0.114 514.290
-0.221 -0.087 522.181
-0.230 -0.059 530.218
-0.235 -0.030 536.186
-0.237 0.000 543.814
-0.235 0.030 549.782
-0.230 0.059 557.819
-0.221 0.087 565.710
-0.208 0.114 572.619
-0.192 0.139 579.560
-0.173 0.162 586.332
-0.151 0.183 594.689
-0.127 0.200 600.018
-0.101 0.215 608.552
-0.073 0.226 616.430
-0.044 0.233 622.147
-0.015 0.237 630.000
0.015 0.237 637.853
0.044 0.233 643.570
0.073 0.226 651.448
0.101 0.215 659.982
0.127 0.200 665.311
0.151 0.183 673.668
0.173 0.162 680.440
0.192 0.139 687.381
0.208 0.114 694.290
0.221 0.087 702.181
0.230 0.059 702.181
Layer: 4
0.939
26
0.079 0.010 165.256
0.074 0.029 149.534
0.064 0.046 136.975
0.050 0.061 124.509
0.034 0.072 107.526
0.015 0.078 92.862
-0.005 0.079 78.111
-0.024 0.075 66.038
-0.042 0.067 50.906
-0.058 0.054 34.509
-0.069 0.038 23.962
-0.077 0.020 5.711
-0.079 0.000 -5.711
-0.077 -0.020 -23.962
-0.069 -0.038 -34.509
-0.058 -0.054 -50.906
-0.042 -0.067 -66.038
-0.024 -0.075 -78.111
-0.005 -0.079 -92.862
0.015 -0.078 -107.526
0.034 -0.072 -124.509
0.050 -0.061 -136.975
0.064 -0.046 -149.534
0.074 -0.029 -165.256
0.079 -0.010 -180.000
0.079 0.010 -180.000
Layer: 5
1.539
51
-0.218 0.205 227.203
-0.191 0.230 233.427
-0.160 0.253 241.390
-0.127 0.271 249.624
-0.092 0.284 254.476
-0.056 0.294 263.830
-0.019 0.298 270.000
0.019 0.298 276.170
0.056 0.294 285.524
0.092 0.284 290.376
0.127 0.271 298.610
0.160 0.253 306.573
0.191 0.230 312.797
0.218 0.205 320.389
0.242 0.176 327.995
0.262 0.144 334.799
0.278 0.110 341.565
0.290 0.074 349.287
0.297 0.037 356.906
0.299 0.000 363.094
0.297 -0.037 370.713
0.290 -0.074 378.435
0.278 -0.110 385.201
0.262 -0.144 392.005
0.242 -0.176 399.611
0.218 -0.205 407.203
0.191 -0.230 413.427
0.160 -0.253 421.390
0.127 -0.271 429.624
0.092 -0.284 434.476
0.056 -0.294 443.830
0.019 -0.298 450.000
-0.019 -0.298 456.170
-0.056 -0.294 465.524
-0.092 -0.284 470.376
-0.127 -0.271 478.610
-0.160 -0.253 486.573
-0.191 -0.230 492.797
-0.218 -0.205 500.389
-0.242 -0.176 507.995
-0.262 -0.144 514.799
-0.278 -0.110 521.565
-0.290 -0.074 529.287
-0.297 -0.037 536.906
-0.299 0.000 543.094
-0.297 0.037 550.713
-0.290 0.074 558.435
-0.278 0.110 565.201
-0.262 0.144 572.005
-0.242 0.176 579.611
-0.218 0.205 579.611
Layer: 6
1.539
51
-0.148 0.139 38.660
-0.164 0.119 33.690
-0.178 0.098 25.560
-0.189 0.075 15.642
-0.196 0.050 11.310
-0.201 0.025 4.574
-0.203 0.000 -4.574
-0.201 -0.025 -11.310
-0.196 -0.050 -15.642
-0.189 -0.075 -25.560
-0.178 -0.098 -33.690
-0.164 -0.119 -38.660
-0.148 -0.139 -48.180
-0.129 -0.156 -53.130
-0.109 -0.171 -60.524
-0.086 -0.184 -68.629
-0.063 -0.193 -76.504
-0.038 -0.199 -83.157
-0.013 -0.202 -90.000
0.013 -0.202 -96.843
0.038 -0.199 -103.496
0.063 -0.193 -111.371
0.086 -0.184 -119.476
0.109 -0.171 -126.870
0.129 -0.156 -131.820
0.148 -0.139 -141.340
0.164 -0.119 -146.310
0.178 -0.098 -154.440
0.189 -0.075 -164.358
0.196 -0.050 -168.690
0.201 -0.025 -175.426
0.203 0.000 -184.574
0.201 0.025 -191.310
0.196 0.050 -195.642
0.189 0.075 -205.560
0.178 0.098 -213.690
0.164 0.119 -218.660
0.148 0.139 -228.180
0.129 0.156 -233.130
0.109 0.171 -240.524
0.086 0.184 -248.629
0.063 0.193 -256.504
0.038 0.199 -263.157
0.013 0.202 -270.000
-0.013 0.202 -276.843
-0.038 0.199 -283.496
-0.063 0.193 -291.371
-0.086 0.184 -299.476
-0.109 0.171 -306.870
-0.129 0.156 -311.820
-0.148 0.139 -311.820
Layer: 7
2.139
51
-0.066 -0.346 104.349
-0.109 -0.335 111.318
-0.150 -0.319 119.427
-0.189 -0.297 126.607
-0.224 -0.271 132.274
-0.257 -0.241 140.528
-0.285 -0.207 147.031
-0.309 -0.170 155.772
-0.327 -0.130 161.565
-0.341 -0.088 169.695
-0.349 -0.044 176.100
-0.352 0.000 183.900
-0.349 0.044 190.305
-0.341 0.088 198.435
-0.327 0.130 204.228
-0.309 0.170 212.969
-0.285 0.207 219.472
-0.257 0.241 227.726
-0.224 0.271 233.393
-0.189 0.297 240.573
-0.150 0.319 248.682
